iter	Passed	Remaining
864	10534	1644
865	10547	1631
866	10559	1619
867	10571	1607
868	10583	1595
869	10594	1583
870	10607	1570
871	10618	1558
872	10630	1546
873	10642	1534
874	10654	1522
875	10666	1509
876	10679	1497
877	10691	1485
878	10703	1473
879	10715	1461
880	10727	1448
881	10739	1436
882	10751	1424
883	10764	1412
884	10776	1400
885	10787	1388
886	10800	1375
887	10812	1363
888	10825	1351
889	10837	1339
890	10848	1327
891	10860	1314
892	10873	1302
893	10886	1290
894	10898	1278
895	10910	1266
896	10922	1254
897	10934	1241
898	10946	1229
899	10958	1217
900	10970	1205
901	10982	1193
902	10994	1181
903	11007	1168
904	11019	1156
905	11031	1144
906	11043	1132
907	11055	1120
908	11067	1107
909	11080	1095
910	11093	1083
911	11105	1071
912	11117	1059
913	11130	1047
914	11142	1035
915	11154	1022
916	11165	1010
917	11177	998
918	11189	986
919	11202	974
920	11213	961
921	11225	949
922	11237	937
923	11248	925
924	11260	913
925	11272	900
926	11285	888
927	11297	876
928	11310	864
929	11321	852
930	11333	840
931	11346	827
932	11357	815
933	11369	803
934	11381	791
935	11393	779
936	11405	766
937	11416	754
938	11429	742
939	11440	730
940	11452	718
941	11464	705
942	11476	693
943	11488	681
944	11501	669
945	11513	657
946	11525	645
947	11537	632
948	11549	620
949	11561	608
950	11573	596
951	11585	584
952	11597	571
953	11610	559
954	11622	547
955	11634	535
956	11646	523
957	11658	511
958	11670	498
959	11682	486
960	11694	474
961	11707	462
962	11719	450
963	11731	438
964	11743	425
965	11755	413
966	11767	401
967	11779	389
968	11791	377
969	11803	365
970	11816	352
971	11829	340
972	11840	328
973	11852	316
974	11864	304
975	11877	292
976	11888	279
977	11900	267
978	11913	255
979	11925	243
980	11937	231
981	11950	219
982	11961	206
983	11973	194
984	11985	182
985	11997	170
986	12009	158
987	12022	146
988	12034	133
989	12047	121
990	12059	109
991	12071	97
992	12084	85
993	12096	73
994	12107	60
995	12120	48
996	12132	36
997	12144	24
998	12156	12
999	12167	0
